tweet,location
"Talking about event in Koregaon Park, Delhi. Quite interesting!",
"Talking about technology in Connaught Place, Ahmedabad. Quite interesting!","Connaught Place, Ahmedabad"
"Talking about traffic in Koregaon Park, Pune. Quite interesting!",
"Talking about movies in Indiranagar, Bangalore. Quite interesting!",
"Talking about food in Salt Lake, Hyderabad. Quite interesting!",HYDERABAD
"Talking about sports in Andheri, Ahmedabad. Quite interesting!","Andheri, Ahmedabad"
"Talking about traffic in Andheri, Delhi. Quite interesting!",delhi
"Talking about event in Indiranagar, Ahmedabad. Quite interesting!",Ahmedabad 
"Talking about movies in Indiranagar, Ahmedabad. Quite interesting!",
"Talking about movies in Koregaon Park, Bangalore. Quite interesting!","Koregaon Park, Bangalore"
"Talking about technology in Koregaon Park, Hyderabad. Quite interesting!",Hyderabad 
"Talking about movies in Navrangpura, Ahmedabad. Quite interesting!",ahmedabad
"Talking about traffic in Indiranagar, Pune. Quite interesting!",Pune 
"Talking about weather in T Nagar, Hyderabad. Quite interesting!",HYDERABAD
"Talking about technology in Koregaon Park, Mumbai. Quite interesting!",
"Talking about event in Indiranagar, Bangalore. Quite interesting!","Bangalore, India"
"Talking about sports in Koregaon Park, Hyderabad. Quite interesting!",HYDERABAD
"Talking about sports in T Nagar, Bangalore. Quite interesting!",Bangalore 
"Talking about sports in T Nagar, Ahmedabad. Quite interesting!",ahmedabad
"Talking about food in Salt Lake, Ahmedabad. Quite interesting!",
"Talking about event in Koregaon Park, Pune. Quite interesting!",PUNE
"Talking about traffic in Salt Lake, Delhi. Quite interesting!","Salt Lake, Delhi"
"Talking about traffic in Andheri, Delhi. Quite interesting!",
"Talking about event in Navrangpura, Chennai. Quite interesting!",
"Talking about traffic in Salt Lake, Ahmedabad. Quite interesting!",AHMEDABAD
"Talking about event in Banjara Hills, Hyderabad. Quite interesting!",
"Talking about food in Banjara Hills, Mumbai. Quite interesting!",MUMBAI
"Talking about traffic in Indiranagar, Kolkata. Quite interesting!",KOLKATA
"Talking about event in Andheri, Ahmedabad. Quite interesting!",ahmedabad
"Talking about food in Koregaon Park, Bangalore. Quite interesting!",bangalore
"Talking about sports in Indiranagar, Pune. Quite interesting!",Pune 
"Talking about food in Banjara Hills, Kolkata. Quite interesting!",KOLKATA
"Talking about food in Indiranagar, Pune. Quite interesting!","Pune, India"
"Talking about movies in Andheri, Mumbai. Quite interesting!",mumbai
"Talking about movies in Salt Lake, Hyderabad. Quite interesting!",hyderabad
"Talking about food in Andheri, Bangalore. Quite interesting!",
"Talking about weather in Banjara Hills, Chennai. Quite interesting!",Chennai 
"Talking about sports in Andheri, Mumbai. Quite interesting!",MUMBAI
"Talking about technology in Andheri, Kolkata. Quite interesting!",Kolkata 
"Talking about technology in Navrangpura, Hyderabad. Quite interesting!",hyderabad
"Talking about traffic in T Nagar, Pune. Quite interesting!",Pune 
"Talking about traffic in Indiranagar, Ahmedabad. Quite interesting!","Ahmedabad, India"
"Talking about food in Connaught Place, Delhi. Quite interesting!","Connaught Place, Delhi"
"Talking about traffic in Banjara Hills, Mumbai. Quite interesting!","Mumbai, India"
"Talking about event in Banjara Hills, Bangalore. Quite interesting!",BANGALORE
"Talking about weather in Andheri, Chennai. Quite interesting!","Andheri, Chennai"
"Talking about movies in Salt Lake, Mumbai. Quite interesting!","Mumbai, India"
"Talking about sports in Navrangpura, Chennai. Quite interesting!",
"Talking about movies in Banjara Hills, Chennai. Quite interesting!",
"Talking about event in Andheri, Mumbai. Quite interesting!",Mumbai 
"Talking about technology in Salt Lake, Bangalore. Quite interesting!","Bangalore, India"
"Talking about movies in Andheri, Bangalore. Quite interesting!",Bangalore 
"Talking about food in Indiranagar, Bangalore. Quite interesting!",Bangalore 
"Talking about movies in T Nagar, Bangalore. Quite interesting!","Bangalore, India"
"Talking about food in Salt Lake, Delhi. Quite interesting!",
"Talking about traffic in Navrangpura, Ahmedabad. Quite interesting!","Navrangpura, Ahmedabad"
"Talking about food in Indiranagar, Mumbai. Quite interesting!","Indiranagar, Mumbai"
"Talking about food in Andheri, Bangalore. Quite interesting!",BANGALORE
"Talking about sports in Banjara Hills, Delhi. Quite interesting!",delhi
"Talking about weather in Salt Lake, Delhi. Quite interesting!",DELHI
"Talking about technology in Banjara Hills, Chennai. Quite interesting!",
"Talking about food in T Nagar, Bangalore. Quite interesting!","T Nagar, Bangalore"
"Talking about movies in Indiranagar, Mumbai. Quite interesting!",MUMBAI
"Talking about food in Navrangpura, Mumbai. Quite interesting!","Navrangpura, Mumbai"
"Talking about weather in Salt Lake, Kolkata. Quite interesting!","Salt Lake, Kolkata"
"Talking about sports in Salt Lake, Chennai. Quite interesting!",Chennai 
"Talking about movies in Koregaon Park, Kolkata. Quite interesting!","Kolkata, India"
"Talking about sports in T Nagar, Bangalore. Quite interesting!",
"Talking about sports in Banjara Hills, Hyderabad. Quite interesting!",Hyderabad 
"Talking about food in Indiranagar, Ahmedabad. Quite interesting!",Ahmedabad 
"Talking about traffic in Navrangpura, Kolkata. Quite interesting!","Navrangpura, Kolkata"
"Talking about event in Banjara Hills, Chennai. Quite interesting!","Chennai, India"
"Talking about traffic in Andheri, Bangalore. Quite interesting!",
"Talking about weather in T Nagar, Delhi. Quite interesting!",
"Talking about weather in Banjara Hills, Pune. Quite interesting!","Pune, India"
"Talking about weather in Salt Lake, Hyderabad. Quite interesting!",hyderabad
"Talking about movies in T Nagar, Kolkata. Quite interesting!","T Nagar, Kolkata"
"Talking about sports in Salt Lake, Kolkata. Quite interesting!",kolkata
"Talking about technology in Andheri, Chennai. Quite interesting!","Chennai, India"
"Talking about food in Salt Lake, Kolkata. Quite interesting!","Salt Lake, Kolkata"
"Talking about event in Koregaon Park, Delhi. Quite interesting!","Delhi, India"
"Talking about food in Banjara Hills, Hyderabad. Quite interesting!",
"Talking about food in Andheri, Ahmedabad. Quite interesting!",AHMEDABAD
"Talking about technology in Koregaon Park, Ahmedabad. Quite interesting!",
"Talking about event in Salt Lake, Ahmedabad. Quite interesting!",Ahmedabad 
"Talking about event in T Nagar, Kolkata. Quite interesting!",KOLKATA
"Talking about sports in Indiranagar, Pune. Quite interesting!","Pune, India"
"Talking about traffic in Indiranagar, Chennai. Quite interesting!","Chennai, India"
"Talking about movies in Connaught Place, Delhi. Quite interesting!",
"Talking about traffic in Andheri, Delhi. Quite interesting!","Delhi, India"
"Talking about sports in Indiranagar, Kolkata. Quite interesting!",kolkata
"Talking about weather in Connaught Place, Delhi. Quite interesting!",delhi
"Talking about movies in Andheri, Bangalore. Quite interesting!",BANGALORE
"Talking about weather in Andheri, Delhi. Quite interesting!","Delhi, India"
"Talking about weather in Salt Lake, Mumbai. Quite interesting!",mumbai
"Talking about sports in Connaught Place, Bangalore. Quite interesting!",Bangalore 
"Talking about traffic in T Nagar, Ahmedabad. Quite interesting!",
"Talking about food in Banjara Hills, Mumbai. Quite interesting!",
"Talking about food in Indiranagar, Hyderabad. Quite interesting!",
"Talking about traffic in T Nagar, Kolkata. Quite interesting!",Kolkata 
"Talking about food in Navrangpura, Ahmedabad. Quite interesting!",Ahmedabad 
"Talking about weather in Salt Lake, Ahmedabad. Quite interesting!",AHMEDABAD
"Talking about technology in Banjara Hills, Mumbai. Quite interesting!","Mumbai, India"
"Talking about technology in Connaught Place, Pune. Quite interesting!",PUNE
"Talking about event in Salt Lake, Hyderabad. Quite interesting!",
"Talking about movies in Navrangpura, Chennai. Quite interesting!","Navrangpura, Chennai"
"Talking about sports in Banjara Hills, Delhi. Quite interesting!","Banjara Hills, Delhi"
"Talking about event in Andheri, Ahmedabad. Quite interesting!","Andheri, Ahmedabad"
"Talking about technology in Connaught Place, Delhi. Quite interesting!",Delhi 
"Talking about food in Indiranagar, Kolkata. Quite interesting!",KOLKATA
"Talking about event in Indiranagar, Mumbai. Quite interesting!",MUMBAI
"Talking about movies in Connaught Place, Kolkata. Quite interesting!",kolkata
"Talking about weather in Navrangpura, Kolkata. Quite interesting!","Navrangpura, Kolkata"
"Talking about weather in Banjara Hills, Ahmedabad. Quite interesting!",ahmedabad
"Talking about movies in Navrangpura, Bangalore. Quite interesting!",Bangalore 
"Talking about technology in Connaught Place, Chennai. Quite interesting!",Chennai 
"Talking about traffic in Salt Lake, Pune. Quite interesting!",PUNE
"Talking about traffic in Andheri, Chennai. Quite interesting!","Andheri, Chennai"
"Talking about movies in Andheri, Mumbai. Quite interesting!","Mumbai, India"
"Talking about food in Andheri, Mumbai. Quite interesting!",Mumbai 
"Talking about food in Koregaon Park, Kolkata. Quite interesting!",Kolkata 
"Talking about event in Andheri, Pune. Quite interesting!",Pune 
"Talking about technology in Salt Lake, Bangalore. Quite interesting!",
"Talking about sports in Indiranagar, Chennai. Quite interesting!",
"Talking about traffic in Koregaon Park, Kolkata. Quite interesting!",kolkata
"Talking about traffic in Banjara Hills, Bangalore. Quite interesting!",
"Talking about technology in Indiranagar, Pune. Quite interesting!",pune
"Talking about technology in Koregaon Park, Hyderabad. Quite interesting!",HYDERABAD
"Talking about traffic in Andheri, Kolkata. Quite interesting!",kolkata
"Talking about technology in T Nagar, Pune. Quite interesting!","Pune, India"
"Talking about event in Banjara Hills, Pune. Quite interesting!",PUNE
"Talking about sports in Indiranagar, Ahmedabad. Quite interesting!",AHMEDABAD
"Talking about sports in Connaught Place, Mumbai. Quite interesting!",
"Talking about technology in Indiranagar, Kolkata. Quite interesting!",KOLKATA
"Talking about event in Banjara Hills, Kolkata. Quite interesting!",Kolkata 
"Talking about technology in Connaught Place, Ahmedabad. Quite interesting!",Ahmedabad 
"Talking about technology in Navrangpura, Hyderabad. Quite interesting!",Hyderabad 
"Talking about weather in Salt Lake, Kolkata. Quite interesting!","Kolkata, India"
"Talking about movies in Koregaon Park, Mumbai. Quite interesting!","Koregaon Park, Mumbai"
"Talking about sports in Koregaon Park, Kolkata. Quite interesting!",
"Talking about food in Indiranagar, Chennai. Quite interesting!",chennai
"Talking about food in Salt Lake, Hyderabad. Quite interesting!",HYDERABAD
"Talking about event in Connaught Place, Pune. Quite interesting!",
"Talking about technology in Koregaon Park, Ahmedabad. Quite interesting!",AHMEDABAD
"Talking about weather in T Nagar, Bangalore. Quite interesting!",Bangalore 
"Talking about sports in Navrangpura, Kolkata. Quite interesting!","Navrangpura, Kolkata"
"Talking about weather in Salt Lake, Chennai. Quite interesting!","Chennai, India"
"Talking about traffic in Indiranagar, Bangalore. Quite interesting!",bangalore
"Talking about technology in T Nagar, Hyderabad. Quite interesting!",HYDERABAD
"Talking about event in Connaught Place, Pune. Quite interesting!",
"Talking about technology in Navrangpura, Pune. Quite interesting!",pune
"Talking about sports in Koregaon Park, Chennai. Quite interesting!",Chennai 
"Talking about movies in Banjara Hills, Pune. Quite interesting!",PUNE
"Talking about movies in Salt Lake, Hyderabad. Quite interesting!",Hyderabad 
"Talking about movies in Navrangpura, Chennai. Quite interesting!",CHENNAI
"Talking about sports in Connaught Place, Kolkata. Quite interesting!",Kolkata 
"Talking about sports in Banjara Hills, Kolkata. Quite interesting!",KOLKATA
"Talking about movies in Koregaon Park, Kolkata. Quite interesting!",
"Talking about technology in T Nagar, Delhi. Quite interesting!",DELHI
"Talking about technology in Navrangpura, Pune. Quite interesting!","Pune, India"
"Talking about event in Indiranagar, Bangalore. Quite interesting!","Bangalore, India"
"Talking about food in T Nagar, Bangalore. Quite interesting!","T Nagar, Bangalore"
"Talking about technology in T Nagar, Pune. Quite interesting!",PUNE
"Talking about weather in Banjara Hills, Chennai. Quite interesting!",
"Talking about event in Navrangpura, Delhi. Quite interesting!",
"Talking about event in Salt Lake, Mumbai. Quite interesting!","Mumbai, India"
"Talking about technology in Indiranagar, Bangalore. Quite interesting!",BANGALORE
"Talking about food in Andheri, Pune. Quite interesting!","Andheri, Pune"
"Talking about technology in Connaught Place, Hyderabad. Quite interesting!",HYDERABAD
"Talking about event in Navrangpura, Hyderabad. Quite interesting!",
"Talking about event in Andheri, Mumbai. Quite interesting!",mumbai
"Talking about traffic in Banjara Hills, Chennai. Quite interesting!",
"Talking about movies in Indiranagar, Bangalore. Quite interesting!",Bangalore 
"Talking about weather in Banjara Hills, Bangalore. Quite interesting!",Bangalore 
"Talking about weather in Salt Lake, Chennai. Quite interesting!",Chennai 
"Talking about traffic in Navrangpura, Kolkata. Quite interesting!","Kolkata, India"
"Talking about technology in Andheri, Ahmedabad. Quite interesting!",ahmedabad
"Talking about weather in Navrangpura, Kolkata. Quite interesting!",Kolkata 
"Talking about traffic in Connaught Place, Chennai. Quite interesting!",CHENNAI
"Talking about food in Connaught Place, Chennai. Quite interesting!","Chennai, India"
"Talking about weather in Koregaon Park, Pune. Quite interesting!","Koregaon Park, Pune"
"Talking about weather in Navrangpura, Ahmedabad. Quite interesting!","Navrangpura, Ahmedabad"
"Talking about sports in Connaught Place, Pune. Quite interesting!","Connaught Place, Pune"
"Talking about weather in Andheri, Chennai. Quite interesting!",chennai
"Talking about food in Salt Lake, Chennai. Quite interesting!",Chennai 
"Talking about food in Navrangpura, Hyderabad. Quite interesting!",
"Talking about food in Salt Lake, Chennai. Quite interesting!",
"Talking about weather in Koregaon Park, Delhi. Quite interesting!","Delhi, India"
"Talking about sports in Salt Lake, Chennai. Quite interesting!",CHENNAI
"Talking about traffic in Andheri, Hyderabad. Quite interesting!","Hyderabad, India"
"Talking about technology in Andheri, Ahmedabad. Quite interesting!",Ahmedabad 
"Talking about event in Salt Lake, Bangalore. Quite interesting!","Bangalore, India"
"Talking about event in Koregaon Park, Mumbai. Quite interesting!",mumbai
"Talking about event in Connaught Place, Ahmedabad. Quite interesting!",ahmedabad
"Talking about technology in Navrangpura, Delhi. Quite interesting!","Navrangpura, Delhi"
"Talking about event in Koregaon Park, Mumbai. Quite interesting!",Mumbai 
"Talking about technology in T Nagar, Bangalore. Quite interesting!","T Nagar, Bangalore"
"Talking about traffic in Koregaon Park, Chennai. Quite interesting!",Chennai 
"Talking about food in Koregaon Park, Mumbai. Quite interesting!",mumbai
"Talking about traffic in Andheri, Mumbai. Quite interesting!","Andheri, Mumbai"
"Talking about technology in Indiranagar, Bangalore. Quite interesting!","Indiranagar, Bangalore"
"Talking about food in Indiranagar, Kolkata. Quite interesting!",kolkata
"Talking about technology in Connaught Place, Pune. Quite interesting!","Connaught Place, Pune"
"Talking about event in Koregaon Park, Ahmedabad. Quite interesting!","Ahmedabad, India"
"Talking about traffic in T Nagar, Hyderabad. Quite interesting!",HYDERABAD
"Talking about technology in Navrangpura, Chennai. Quite interesting!","Navrangpura, Chennai"
"Talking about movies in T Nagar, Pune. Quite interesting!",pune
"Talking about weather in Koregaon Park, Chennai. Quite interesting!","Koregaon Park, Chennai"
"Talking about sports in Salt Lake, Pune. Quite interesting!",PUNE
"Talking about sports in T Nagar, Pune. Quite interesting!",
"Talking about movies in Banjara Hills, Pune. Quite interesting!",PUNE
"Talking about movies in T Nagar, Pune. Quite interesting!",pune
"Talking about technology in Banjara Hills, Ahmedabad. Quite interesting!",Ahmedabad 
"Talking about technology in Koregaon Park, Bangalore. Quite interesting!",Bangalore 
"Talking about traffic in Koregaon Park, Delhi. Quite interesting!",delhi
"Talking about food in Connaught Place, Ahmedabad. Quite interesting!",AHMEDABAD
"Talking about technology in Indiranagar, Mumbai. Quite interesting!","Indiranagar, Mumbai"
"Talking about food in Andheri, Bangalore. Quite interesting!",
"Talking about event in T Nagar, Hyderabad. Quite interesting!",hyderabad
"Talking about technology in T Nagar, Ahmedabad. Quite interesting!","T Nagar, Ahmedabad"
"Talking about food in Connaught Place, Pune. Quite interesting!",PUNE
"Talking about weather in Indiranagar, Bangalore. Quite interesting!","Indiranagar, Bangalore"
"Talking about traffic in Koregaon Park, Mumbai. Quite interesting!",mumbai
"Talking about food in Koregaon Park, Ahmedabad. Quite interesting!",ahmedabad
"Talking about traffic in Salt Lake, Pune. Quite interesting!","Pune, India"
"Talking about weather in Koregaon Park, Kolkata. Quite interesting!",Kolkata 
"Talking about food in T Nagar, Chennai. Quite interesting!",Chennai 
"Talking about weather in Indiranagar, Pune. Quite interesting!",
"Talking about movies in Banjara Hills, Pune. Quite interesting!",Pune 
"Talking about event in Connaught Place, Pune. Quite interesting!",PUNE
"Talking about traffic in Banjara Hills, Delhi. Quite interesting!",
"Talking about technology in Koregaon Park, Pune. Quite interesting!",PUNE
"Talking about movies in Andheri, Hyderabad. Quite interesting!",Hyderabad 
"Talking about event in Navrangpura, Kolkata. Quite interesting!",kolkata
"Talking about sports in Connaught Place, Delhi. Quite interesting!",DELHI
"Talking about technology in T Nagar, Chennai. Quite interesting!",
"Talking about weather in Salt Lake, Hyderabad. Quite interesting!",HYDERABAD
"Talking about traffic in Banjara Hills, Ahmedabad. Quite interesting!",Ahmedabad 
"Talking about traffic in T Nagar, Delhi. Quite interesting!",delhi
"Talking about event in T Nagar, Mumbai. Quite interesting!",
"Talking about sports in T Nagar, Bangalore. Quite interesting!",BANGALORE
"Talking about event in Navrangpura, Kolkata. Quite interesting!",
"Talking about food in Andheri, Chennai. Quite interesting!",
"Talking about food in Navrangpura, Mumbai. Quite interesting!",mumbai
"Talking about traffic in Koregaon Park, Bangalore. Quite interesting!",
"Talking about event in T Nagar, Chennai. Quite interesting!","Chennai, India"
"Talking about movies in Indiranagar, Delhi. Quite interesting!",DELHI
"Talking about event in Banjara Hills, Ahmedabad. Quite interesting!",
"Talking about sports in Salt Lake, Mumbai. Quite interesting!",MUMBAI
"Talking about sports in Indiranagar, Bangalore. Quite interesting!",
"Talking about technology in Koregaon Park, Hyderabad. Quite interesting!",Hyderabad 
"Talking about food in Koregaon Park, Chennai. Quite interesting!","Chennai, India"
"Talking about event in Andheri, Bangalore. Quite interesting!",Bangalore 
"Talking about weather in T Nagar, Hyderabad. Quite interesting!","Hyderabad, India"
"Talking about event in T Nagar, Kolkata. Quite interesting!",
"Talking about event in Koregaon Park, Chennai. Quite interesting!",chennai
"Talking about sports in Andheri, Bangalore. Quite interesting!",
"Talking about movies in Connaught Place, Kolkata. Quite interesting!",KOLKATA
"Talking about technology in Salt Lake, Ahmedabad. Quite interesting!",Ahmedabad 
"Talking about food in T Nagar, Mumbai. Quite interesting!",
"Talking about food in Koregaon Park, Mumbai. Quite interesting!",Mumbai 
"Talking about movies in Koregaon Park, Delhi. Quite interesting!",Delhi 
"Talking about weather in Connaught Place, Bangalore. Quite interesting!","Bangalore, India"
"Talking about technology in Navrangpura, Chennai. Quite interesting!",chennai
"Talking about event in T Nagar, Ahmedabad. Quite interesting!",AHMEDABAD
"Talking about movies in Navrangpura, Ahmedabad. Quite interesting!",
"Talking about movies in Banjara Hills, Chennai. Quite interesting!","Chennai, India"
"Talking about sports in Navrangpura, Ahmedabad. Quite interesting!","Ahmedabad, India"
"Talking about traffic in Indiranagar, Bangalore. Quite interesting!","Indiranagar, Bangalore"
"Talking about sports in Indiranagar, Mumbai. Quite interesting!",Mumbai 
"Talking about event in Andheri, Bangalore. Quite interesting!",Bangalore 
"Talking about weather in Indiranagar, Delhi. Quite interesting!",Delhi 
"Talking about weather in Indiranagar, Ahmedabad. Quite interesting!","Indiranagar, Ahmedabad"
"Talking about event in T Nagar, Pune. Quite interesting!",
"Talking about sports in Banjara Hills, Bangalore. Quite interesting!","Bangalore, India"
"Talking about weather in Indiranagar, Chennai. Quite interesting!",chennai
"Talking about movies in Salt Lake, Hyderabad. Quite interesting!",HYDERABAD
"Talking about weather in Koregaon Park, Delhi. Quite interesting!","Delhi, India"
"Talking about weather in Connaught Place, Hyderabad. Quite interesting!","Connaught Place, Hyderabad"
"Talking about event in Koregaon Park, Delhi. Quite interesting!",
"Talking about event in Indiranagar, Pune. Quite interesting!","Pune, India"
"Talking about traffic in Banjara Hills, Mumbai. Quite interesting!","Banjara Hills, Mumbai"
"Talking about traffic in T Nagar, Chennai. Quite interesting!",chennai
"Talking about sports in Indiranagar, Delhi. Quite interesting!",
"Talking about technology in Salt Lake, Bangalore. Quite interesting!",BANGALORE
"Talking about food in Navrangpura, Bangalore. Quite interesting!","Navrangpura, Bangalore"
"Talking about movies in T Nagar, Hyderabad. Quite interesting!",
"Talking about technology in Koregaon Park, Kolkata. Quite interesting!",Kolkata 
"Talking about traffic in Andheri, Ahmedabad. Quite interesting!","Andheri, Ahmedabad"
"Talking about sports in Indiranagar, Chennai. Quite interesting!","Indiranagar, Chennai"
"Talking about sports in Andheri, Kolkata. Quite interesting!",Kolkata 
"Talking about traffic in Banjara Hills, Bangalore. Quite interesting!","Bangalore, India"
"Talking about technology in Banjara Hills, Pune. Quite interesting!","Banjara Hills, Pune"
"Talking about technology in Connaught Place, Ahmedabad. Quite interesting!",AHMEDABAD
"Talking about traffic in Banjara Hills, Hyderabad. Quite interesting!","Hyderabad, India"
"Talking about technology in Andheri, Delhi. Quite interesting!","Delhi, India"
"Talking about traffic in T Nagar, Delhi. Quite interesting!","T Nagar, Delhi"
"Talking about technology in Indiranagar, Pune. Quite interesting!",PUNE
"Talking about sports in Banjara Hills, Hyderabad. Quite interesting!","Hyderabad, India"
"Talking about food in Salt Lake, Chennai. Quite interesting!",Chennai 
"Talking about weather in Indiranagar, Chennai. Quite interesting!",Chennai 
"Talking about weather in Indiranagar, Mumbai. Quite interesting!",Mumbai 
"Talking about food in Connaught Place, Mumbai. Quite interesting!",Mumbai 
"Talking about traffic in Banjara Hills, Kolkata. Quite interesting!","Kolkata, India"
"Talking about sports in Indiranagar, Delhi. Quite interesting!",delhi
"Talking about food in Koregaon Park, Chennai. Quite interesting!","Chennai, India"
"Talking about food in T Nagar, Mumbai. Quite interesting!",
"Talking about sports in Navrangpura, Chennai. Quite interesting!",chennai
"Talking about sports in Banjara Hills, Bangalore. Quite interesting!","Bangalore, India"
"Talking about weather in Andheri, Delhi. Quite interesting!",DELHI
"Talking about movies in T Nagar, Bangalore. Quite interesting!","Bangalore, India"
"Talking about technology in Connaught Place, Hyderabad. Quite interesting!","Connaught Place, Hyderabad"
"Talking about weather in Banjara Hills, Ahmedabad. Quite interesting!",ahmedabad
"Talking about event in Andheri, Hyderabad. Quite interesting!",
"Talking about sports in Andheri, Delhi. Quite interesting!","Andheri, Delhi"
"Talking about food in Koregaon Park, Kolkata. Quite interesting!",
"Talking about technology in Indiranagar, Mumbai. Quite interesting!",MUMBAI
"Talking about traffic in Indiranagar, Delhi. Quite interesting!",delhi
"Talking about sports in Navrangpura, Delhi. Quite interesting!",DELHI
"Talking about food in Connaught Place, Mumbai. Quite interesting!",Mumbai 
"Talking about event in Connaught Place, Pune. Quite interesting!",PUNE
"Talking about movies in T Nagar, Delhi. Quite interesting!","T Nagar, Delhi"
"Talking about weather in Koregaon Park, Mumbai. Quite interesting!",MUMBAI
"Talking about sports in Connaught Place, Ahmedabad. Quite interesting!",ahmedabad
"Talking about traffic in Navrangpura, Delhi. Quite interesting!",DELHI
"Talking about weather in Koregaon Park, Hyderabad. Quite interesting!",hyderabad
"Talking about event in Banjara Hills, Mumbai. Quite interesting!",MUMBAI
"Talking about event in Koregaon Park, Delhi. Quite interesting!","Koregaon Park, Delhi"
"Talking about event in Salt Lake, Mumbai. Quite interesting!",
"Talking about movies in Banjara Hills, Ahmedabad. Quite interesting!","Ahmedabad, India"
"Talking about movies in Andheri, Chennai. Quite interesting!",CHENNAI
"Talking about technology in Navrangpura, Bangalore. Quite interesting!",Bangalore 
"Talking about weather in Indiranagar, Mumbai. Quite interesting!","Indiranagar, Mumbai"
"Talking about food in Indiranagar, Ahmedabad. Quite interesting!",
"Talking about weather in Banjara Hills, Kolkata. Quite interesting!",Kolkata 
"Talking about technology in Andheri, Ahmedabad. Quite interesting!",
"Talking about food in Salt Lake, Kolkata. Quite interesting!",KOLKATA
"Talking about food in Navrangpura, Delhi. Quite interesting!","Delhi, India"
"Talking about traffic in T Nagar, Chennai. Quite interesting!","T Nagar, Chennai"
"Talking about movies in Connaught Place, Delhi. Quite interesting!",
"Talking about weather in Indiranagar, Pune. Quite interesting!","Pune, India"
"Talking about movies in Salt Lake, Kolkata. Quite interesting!","Salt Lake, Kolkata"
"Talking about weather in Koregaon Park, Chennai. Quite interesting!","Chennai, India"
"Talking about event in Navrangpura, Chennai. Quite interesting!",
"Talking about event in Connaught Place, Chennai. Quite interesting!",CHENNAI
"Talking about weather in Koregaon Park, Kolkata. Quite interesting!",kolkata
"Talking about event in T Nagar, Chennai. Quite interesting!","T Nagar, Chennai"
"Talking about technology in Indiranagar, Pune. Quite interesting!",pune
"Talking about movies in Salt Lake, Ahmedabad. Quite interesting!","Ahmedabad, India"
"Talking about movies in Indiranagar, Delhi. Quite interesting!",Delhi 
"Talking about sports in Andheri, Hyderabad. Quite interesting!",
"Talking about movies in Indiranagar, Delhi. Quite interesting!","Indiranagar, Delhi"
"Talking about traffic in Indiranagar, Delhi. Quite interesting!",DELHI
"Talking about sports in Koregaon Park, Chennai. Quite interesting!",Chennai 
"Talking about technology in Andheri, Ahmedabad. Quite interesting!","Ahmedabad, India"
"Talking about traffic in Indiranagar, Chennai. Quite interesting!",CHENNAI
"Talking about traffic in T Nagar, Delhi. Quite interesting!","T Nagar, Delhi"
"Talking about event in Salt Lake, Mumbai. Quite interesting!","Salt Lake, Mumbai"
"Talking about traffic in T Nagar, Kolkata. Quite interesting!",
"Talking about movies in Salt Lake, Bangalore. Quite interesting!",Bangalore 
"Talking about technology in Indiranagar, Bangalore. Quite interesting!",
"Talking about event in T Nagar, Pune. Quite interesting!","T Nagar, Pune"
"Talking about weather in Connaught Place, Ahmedabad. Quite interesting!","Ahmedabad, India"
"Talking about weather in Koregaon Park, Bangalore. Quite interesting!",Bangalore 
"Talking about event in Salt Lake, Chennai. Quite interesting!",chennai
"Talking about food in Koregaon Park, Pune. Quite interesting!",pune
"Talking about food in Indiranagar, Ahmedabad. Quite interesting!",AHMEDABAD
"Talking about movies in Banjara Hills, Ahmedabad. Quite interesting!",
"Talking about movies in Banjara Hills, Hyderabad. Quite interesting!",HYDERABAD
"Talking about sports in Andheri, Mumbai. Quite interesting!",mumbai
"Talking about food in Banjara Hills, Chennai. Quite interesting!","Chennai, India"
"Talking about event in T Nagar, Bangalore. Quite interesting!",BANGALORE
"Talking about movies in Connaught Place, Chennai. Quite interesting!",chennai
"Talking about weather in T Nagar, Mumbai. Quite interesting!",
"Talking about movies in T Nagar, Chennai. Quite interesting!","T Nagar, Chennai"
"Talking about sports in Banjara Hills, Delhi. Quite interesting!",delhi
"Talking about sports in Salt Lake, Bangalore. Quite interesting!",bangalore
"Talking about technology in Banjara Hills, Mumbai. Quite interesting!",
"Talking about food in T Nagar, Kolkata. Quite interesting!","T Nagar, Kolkata"
"Talking about weather in Navrangpura, Ahmedabad. Quite interesting!","Navrangpura, Ahmedabad"
"Talking about technology in Banjara Hills, Delhi. Quite interesting!",DELHI
"Talking about event in Andheri, Hyderabad. Quite interesting!","Andheri, Hyderabad"
"Talking about movies in Connaught Place, Mumbai. Quite interesting!",Mumbai 
"Talking about weather in Navrangpura, Chennai. Quite interesting!",CHENNAI
"Talking about food in Salt Lake, Bangalore. Quite interesting!",bangalore
"Talking about movies in Salt Lake, Kolkata. Quite interesting!",KOLKATA
"Talking about sports in Navrangpura, Kolkata. Quite interesting!","Navrangpura, Kolkata"
"Talking about technology in Indiranagar, Mumbai. Quite interesting!",Mumbai 
"Talking about traffic in Salt Lake, Mumbai. Quite interesting!",Mumbai 
"Talking about traffic in Navrangpura, Delhi. Quite interesting!",delhi
"Talking about sports in T Nagar, Pune. Quite interesting!",PUNE
"Talking about sports in Banjara Hills, Ahmedabad. Quite interesting!",AHMEDABAD
"Talking about technology in Banjara Hills, Pune. Quite interesting!",
"Talking about technology in Banjara Hills, Mumbai. Quite interesting!",mumbai
"Talking about food in T Nagar, Chennai. Quite interesting!","Chennai, India"
